Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Tot_Benes,Tot_Submtd_Cvrd_Chrg,Tot_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Dschrgs,Tot_Cvrd_Days,Tot_Days,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_GT_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_API_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_NatInd_Cnt,Bene_Race_Othr_Cnt,Bene_Dual_Cnt,Bene_Ndual_Cnt,Bene_CC_BH_ADHD_OthCD_V1_Pct,Bene_CC_BH_Alcohol_Drug_V1_Pct,Bene_CC_BH_Tobacco_V1_Pct,Bene_CC_BH_Alz_NonAlzdem_V2_Pct,Bene_CC_BH_Anxiety_V1_Pct,Bene_CC_BH_Bipolar_V1_Pct,Bene_CC_BH_Mood_V2_Pct,Bene_CC_BH_Depress_V1_Pct,Bene_CC_BH_PD_V1_Pct,Bene_CC_BH_PTSD_V1_Pct,Bene_CC_BH_Schizo_OthPsy_V1_Pct,Bene_CC_PH_Asthma_V2_Pct,Bene_CC_PH_Afib_V2_Pct,Bene_CC_PH_Cancer6_V2_Pct,Bene_CC_PH_CKD_V2_Pct,Bene_CC_PH_COPD_V2_Pct,Bene_CC_PH_Diabetes_V2_Pct,Bene_CC_PH_HF_NonIHD_V2_Pct,Bene_CC_PH_Hyperlipidemia_V2_Pct,Bene_CC_PH_Hypertension_V2_Pct,Bene_CC_PH_IschemicHeart_V2_Pct,Bene_CC_PH_Osteoporosis_V2_Pct,Bene_CC_PH_Parkinson_V2_Pct,Bene_CC_PH_Arthritis_V2_Pct,Bene_CC_PH_Stroke_TIA_V2_Pct,Bene_Avg_Risk_Scre
100126,Hca Florida Pasadena Hospital,1501 Pasadena Ave S,Saint Petersburg,33707,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1099,204262434,14527995,12151905,1422,6708,6839,78.383985441,81,325,328,365,605,494,1001,57,,17,,18,244,855,0.0218380346,0.2147406733,0.1910828025,0.304822566,0.4713375796,0.1419472247,0.5177434031,0.4695177434,0.0227479527,0.0291173794,0.0818926297,0.1228389445,0.3912647862,0.2138307552,0.474977252,0.4212920837,0.3657870792,0.3685168335,0.75,0.75,0.5013648772,0.1565059145,0.0418562329,0.6005459509,0.2192902639,2.2282867779
100127,Morton Plant Hospital,300 Pinellas St,Clearwater,33756,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5324,495823203,100392500,85710414,7190,34074,35193,76.987791134,476,1600,1841,1407,2888,2436,4823,173,47,156,,,1131,4193,0.0204733283,0.1962809917,0.1930879038,0.2672802404,0.4911720511,0.1286626597,0.4706987228,0.4342599549,0.0264838467,0.0296769346,0.0732531931,0.1358001503,0.4113448535,0.2299023291,0.4660030053,0.3521788129,0.3976333584,0.4336964688,0.75,0.75,0.5636739294,0.2122464313,0.0465815177,0.634109692,0.2419233659,2.3097303828
100128,Tampa General Hospital,1 Tampa General Cir,Tampa,33606,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6685,1452769580,233887022,177490673,9216,61119,64025,71.371428571,1298,2488,1937,962,3291,3394,4822,858,104,697,,,1767,4918,0.0671652954,0.2169035153,0.1778608826,0.1997008227,0.4360508601,0.1211667913,0.4312640239,0.3901271503,0.0185489903,0.033657442,0.0551982049,0.1575168287,0.3540762902,0.2176514585,0.4753926702,0.3337322364,0.4486163052,0.3989528796,0.75,0.75,0.525355273,0.1940164547,0.0399401645,0.6014958863,0.2453253553,2.76980662
100130,Lakeside Medical Center,39200 Hooker Hwy,Belle Glade,33430,FL,12,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",73,6048175,2232567,1902472,97,474,522,70.150684932,18,24,16,15,38,35,26,37,,,,,50,23,0,0.1506849315,0.2328767123,0.3698630137,0.3287671233,0.0684931507,0.2876712329,0.2191780822,0.0410958904,0.0136986301,0.1095890411,0.1643835616,0.3561643836,0.1232876712,0.4931506849,0.4520547945,0.6164383562,0.5616438356,0.698630137,0.75,0.4383561644,0.1095890411,0.0136986301,0.397260274,0.1780821918,3.6246148567
100131,Hca Florida Aventura Hospital,20900 Biscayne Blvd,Aventura,33180,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2519,484320015,53161484,47386547,3502,17957,18307,77.604605002,268,671,755,825,1341,1178,1632,441,27,352,,,1030,1489,0.0206431123,0.1333862644,0.1445017864,0.378324732,0.3826915443,0.1119491862,0.4430329496,0.4128622469,0.0230250099,0.0158793172,0.1460897181,0.1262405717,0.3414053196,0.20325526,0.440651052,0.4231838031,0.5101230647,0.4077014688,0.75,0.75,0.5744342993,0.1869789599,0.0738388249,0.5172687574,0.2719333069,2.6062161642
100132,South Florida Baptist Hospital,301 N Alexander St,Plant City,33563,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",840,69682378,15256720,13084120,1160,5471,5576,75.752380952,104,250,284,202,487,353,699,64,,65,,,273,567,0.1035714286,0.1595238095,0.2166666667,0.3297619048,0.5642857143,0.1511904762,0.5142857143,0.4833333333,0.019047619,0.0202380952,0.1047619048,0.175,0.3797619048,0.2071428571,0.5226190476,0.4404761905,0.5202380952,0.4464285714,0.75,0.75,0.5642857143,0.2107142857,0.0452380952,0.6154761905,0.1928571429,2.4115706377
100134,Ed Fraser Memorial Hospital,159 N 3rd St,Macclenny,32063,FL,12,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",129,2970669,3322787,3103399,142,436,443,78.131782946,,34,54,,85,44,121,,,,,,40,89,0.0465116279,0.1007751938,0.1240310078,0.2868217054,0.496124031,0.0620155039,0.4263565891,0.3875968992,0.1550387597,0.007751938,0.0465116279,0.1627906977,0.4108527132,0.1472868217,0.503875969,0.5736434109,0.6511627907,0.519379845,0.75,0.75,0.6666666667,0.1472868217,0.0620155039,0.5891472868,0.3488372093,1.7788037233
100135,Tallahassee Memorial Hospital,1300 Miccosukee Rd,Tallahassee,32308,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3737,407630878,80377062,67169600,5110,22468,23244,75.386406208,447,1210,1265,815,1976,1761,2945,656,17,44,,,868,2869,0.013914905,0.1418249933,0.1645705111,0.2523414504,0.3882793685,0.0698421193,0.4158415842,0.3880117742,0.0163232539,0.0289001873,0.0489697618,0.1142627776,0.3898849344,0.211131924,0.409954509,0.3168316832,0.4442065828,0.4219962537,0.75,0.75,0.4696280439,0.2156810276,0.0390687717,0.5560610115,0.2496655071,1.933114145
100137,Adventhealth Heart Of Florida,40100 Hwy 27,Davenport,33837,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1263,203038840,21413072,18143537,1607,8354,8520,74.392715756,172,406,463,222,649,614,924,138,17,153,,,266,997,0.0095011876,0.1433095804,0.1654790182,0.1979414093,0.3365003959,0.0728424386,0.4022169438,0.3562945368,0.008709422,0.0205859066,0.0514647664,0.1274742676,0.3539192399,0.1908155186,0.5067300079,0.377672209,0.5051464766,0.4093428345,0.75,0.75,0.5035629454,0.1409342835,0.0356294537,0.541567696,0.1781472684,2.2317893218
100140,Baptist Medical Center - Nassau,1250 S 18th St,Fernandina Beach,32034,FL,12,2,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",905,53965399,10257732,8741990,1162,4377,4433,78.466298343,44,247,359,255,446,459,844,33,,,,15,99,806,0.070718232,0.146961326,0.1491712707,0.2607734807,0.3955801105,0.0397790055,0.4110497238,0.382320442,0.0232044199,0.0220994475,0.0298342541,0.1414364641,0.4143646409,0.2408839779,0.4464088398,0.3679558011,0.3668508287,0.4276243094,0.75,0.75,0.520441989,0.1602209945,0.0453038674,0.6110497238,0.1900552486,2.0411627334
100142,Jackson Hospital,4250 Hospital Dr,Marianna,32446,FL,12,7,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",572,13440985,7667564,6641421,766,4034,4111,75.652097902,78,146,205,143,330,242,466,91,,,,,213,359,0.0244755245,0.1713286713,0.2255244755,0.277972028,0.4318181818,0.0856643357,0.458041958,0.4230769231,0.0087412587,0.020979021,0.0594405594,0.1398601399,0.3671328671,0.1678321678,0.3758741259,0.4248251748,0.5174825175,0.4527972028,0.7395104895,0.75,0.4125874126,0.201048951,0.0541958042,0.5751748252,0.1538461538,1.797036404
100150,Lower Keys Medical Center,5900 College Road,Key West,33040,FL,12,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",635,62102001,13323929,11636745,798,3337,3406,75.529133858,43,252,233,107,295,340,501,29,,90,,,169,466,0.0204724409,0.1984251969,0.2330708661,0.2078740157,0.431496063,0.1181102362,0.4047244094,0.3653543307,0.0661417323,0.0362204724,0.0519685039,0.0976377953,0.3559055118,0.2204724409,0.3433070866,0.3244094488,0.3716535433,0.3543307087,0.75,0.75,0.4818897638,0.1307086614,0.0299212598,0.5763779528,0.1496062992,1.6007885546
100151,Mayo Clinic,4500 San Pablo Rd,Jacksonville,32224,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5773,731275457,229371836,136706509,8302,43320,47863,73.121946995,779,2312,1847,835,2756,3017,4826,489,89,187,,,462,5311,0.0207864195,0.1113805647,0.1079161614,0.1364974883,0.397886714,0.0453836827,0.3417633813,0.3173393383,0.023384722,0.0230382817,0.0183613373,0.1319937641,0.3519833709,0.2634678677,0.4793001905,0.2729949766,0.3788324961,0.3466135458,0.75,0.75,0.4424042959,0.1926208211,0.0367226745,0.5406201282,0.1801489693,2.3568785884
100154,South Miami Hospital,6200 Sw 73rd St,South Miami,33143,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1972,237677311,39060207,33853339,2456,12332,12562,78.149087221,158,543,648,623,1081,891,967,99,19,844,,,735,1237,0.0106490872,0.1237322515,0.1227180527,0.3311359026,0.3772819473,0.0527383367,0.4011156187,0.3605476673,0.023326572,0.0096348884,0.1014198783,0.119168357,0.3965517241,0.2302231237,0.4396551724,0.3483772819,0.4477687627,0.4477687627,0.75,0.75,0.5400608519,0.2063894523,0.0669371197,0.5806288032,0.2347870183,2.4353369498
100156,Hca Florida Lake City Hospital,340 Nw Commerce Dr,Lake City,32055,FL,12,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1837,206706424,35947319,31034021,2662,11960,12320,75.816004355,237,542,628,430,1038,799,1585,191,,42,,,666,1171,0.0195971693,0.1524224279,0.2346216658,0.3048448557,0.4393032118,0.1660315732,0.4665215024,0.4360370169,0.0538922156,0.0206859009,0.0751224823,0.108328797,0.4186173108,0.1921611323,0.5356559608,0.4512792597,0.4893848666,0.5144256941,0.75,0.75,0.543821448,0.1605879151,0.0424605335,0.5737615678,0.228089276,2.2750798207
100157,Lakeland Regional Medical Center,1324 Lakeland Hills Blvd,Lakeland,33805,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6075,598886579,110693416,96270824,9205,45063,46169,76.591934156,550,1840,2171,1514,3279,2796,5218,436,35,297,,,1362,4713,0.0126748971,0.1152263374,0.1501234568,0.2498765432,0.3776131687,0.0846090535,0.4047736626,0.3738271605,0.0088888889,0.0197530864,0.0648559671,0.1535802469,0.3805761317,0.2125102881,0.5081481481,0.3639506173,0.4635390947,0.3917695473,0.75,0.75,0.5058436214,0.166255144,0.0386831276,0.5051851852,0.1767901235,2.2289834217
100161,Hca Florida Lake Monroe Hospital,1401 W Seminole Blvd,Sanford,32771,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1373,224364147,27778036,22166665,1835,9157,9716,75.847050255,147,442,477,307,723,650,1047,181,18,97,,,318,1055,0.0138383103,0.1624180626,0.219227968,0.2636562272,0.4122359796,0.0903131828,0.4034959942,0.3729060452,0.018208303,0.0196649672,0.0786598689,0.128186453,0.3867443554,0.1915513474,0.4566642389,0.3823743627,0.5098324836,0.4726875455,0.75,0.75,0.5637290605,0.1565914057,0.0407865987,0.554989075,0.2898761835,2.1454212073
100166,Hca Florida Sarasota Doctors Hospital,5731 Bee Ridge Rd,Sarasota,34233,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2418,331477816,32575711,27426493,2954,12868,13118,78.243589744,148,669,927,674,1329,1089,2240,53,15,54,,,290,2128,0.0140612076,0.1695616212,0.1633581472,0.2241521919,0.4383788255,0.070306038,0.44127378,0.399917287,0.0186104218,0.0248138958,0.0430107527,0.1224152192,0.3928866832,0.2315963606,0.4081885856,0.3428453267,0.3569065343,0.3755169562,0.75,0.75,0.4975186104,0.2034739454,0.0442514475,0.6476426799,0.1968569065,1.9287936221
100167,Hca Florida Mercy Hospital,3663 S Miami Ave,Miami,33133,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1243,323611319,27777586,24362673,1741,10744,10946,76.79082864,155,324,397,367,681,562,304,92,12,825,,,816,427,0.010458568,0.1391794047,0.1874497184,0.417538214,0.5100563154,0.0909090909,0.5140788415,0.494770716,0.0378117458,0.010458568,0.1946902655,0.1641190668,0.3419147224,0.1954947707,0.4859211585,0.4183427192,0.5792437651,0.4810941271,0.75,0.75,0.5776347546,0.1721641191,0.0659694288,0.5703942076,0.224456959,3.1345717658
100168,Boca Raton Regional Hospital,800 Meadows Rd,Boca Raton,33486,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5719,634021896,110614951,94193215,7862,39835,40214,81.127120126,165,1210,2124,2220,3000,2719,5266,116,32,166,,,577,5142,0.0094422102,0.1143556566,0.0910998426,0.2750480853,0.4105612869,0.0966952264,0.4327679664,0.400244798,0.0283266305,0.0111907676,0.05053331,0.1169784927,0.4616191642,0.2967301976,0.4401119077,0.2830914496,0.3995453751,0.4301451303,0.75,0.75,0.6016786151,0.2383283791,0.05875153,0.6095471236,0.2475957335,2.1156603592
100173,Adventhealth Tampa,3100 E Fletcher Ave,Tampa,33613,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3234,469770256,64676017,55467616,4321,25936,26598,74.720470006,433,1085,1042,674,1693,1541,2369,415,45,326,,,1108,2126,0.123685838,0.2105751391,0.183982684,0.2952999382,0.4727891156,0.1645021645,0.487012987,0.4529993816,0.0231910946,0.0293753865,0.0909090909,0.1635745207,0.4097093383,0.1972789116,0.4752628324,0.3775510204,0.4904143476,0.4427952999,0.75,0.75,0.5578231293,0.1731601732,0.0534941249,0.5924551639,0.2659245516,2.480576858
100175,Desoto Memorial Hospital,900 N Robert Ave,Arcadia,34265,FL,12,99,Unknown,187,8581244,3297203,2421645,225,771,822,75.887700535,24,57,64,42,83,104,155,16,,12,,,51,136,0.0160427807,0.1443850267,0.1978609626,0.2513368984,0.3796791444,0.064171123,0.4117647059,0.3796791444,0.0213903743,0.0534759358,0.0534759358,0.1016042781,0.4598930481,0.1978609626,0.4759358289,0.5454545455,0.4438502674,0.4705882353,0.75,0.75,0.5026737968,0.128342246,0.0695187166,0.5026737968,0.2032085561,2.2210771114
100176,Palm Beach Gardens Medical Center,3360 Burns Rd,Palm Beach Gardens,33410,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2595,555930352,44242599,38385072,3496,18151,18405,78.92061657,147,673,953,822,1293,1302,2228,199,26,82,,,338,2257,0.0069364162,0.1329479769,0.1009633911,0.2608863198,0.391522158,0.0789980732,0.4312138728,0.3907514451,0.0184971098,0.0138728324,0.0439306358,0.1302504817,0.4813102119,0.233911368,0.4443159923,0.3306358382,0.3919075145,0.4447013487,0.75,0.75,0.6273603083,0.1845857418,0.0570327553,0.6077071291,0.2038535645,2.1517014583
100177,Cape Canaveral Hospital,701 W Cocoa Beach Causeway,Cocoa Beach,32932,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1535,122433924,23972376,20890518,2032,8674,8772,77.513355049,135,433,536,431,833,702,1387,62,22,37,,,296,1239,0.0123778502,0.1973941368,0.1680781759,0.2495114007,0.4143322476,0.0592833876,0.390228013,0.3550488599,0.0149837134,0.0201954397,0.0501628664,0.0951140065,0.3856677524,0.2156351792,0.4410423453,0.3439739414,0.390228013,0.3732899023,0.75,0.75,0.4918566775,0.2123778502,0.0293159609,0.6019543974,0.2013029316,2.0724800712
100179,Hca Florida Memorial Hospital,3625 University Blvd S,Jacksonville,32216,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2859,644845264,56681227,48218145,3842,18559,19370,73.443161945,460,976,924,499,1521,1338,2102,497,60,127,,,888,1971,0.0535152151,0.1766351871,0.2158097237,0.2602308499,0.4575026233,0.1115774746,0.4442112627,0.40818468,0.0489681707,0.0335781742,0.093389297,0.1444561035,0.3857992305,0.1888772298,0.4735921651,0.376355369,0.5197621546,0.4610003498,0.75,0.75,0.5844700944,0.1266176985,0.0416229451,0.5736271424,0.277019937,2.4978453679
100180,Hca Florida St Petersburg Hospital,6500 38th Ave N,Saint Petersburg,33710,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",857,162528806,13810459,12155333,1077,4963,5090,74.599766628,133,280,237,207,472,385,705,69,14,49,,,365,492,0.0350058343,0.243873979,0.2858809802,0.4200700117,0.569428238,0.2427071179,0.6079346558,0.5659276546,0.0711785298,0.0291715286,0.2007001167,0.1633605601,0.3045507585,0.2158693116,0.4760793466,0.4667444574,0.4422403734,0.3687281214,0.75,0.75,0.4352392065,0.1610268378,0.057176196,0.5460910152,0.2660443407,2.5228142149
100181,Larkin Community Hospital,7031 Sw 62nd Ave,South Miami,33143,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",596,50639939,23606107,14987071,917,5706,5780,69.152684564,185,164,117,130,288,308,159,105,,317,,11,498,98,0.1157718121,0.2684563758,0.4546979866,0.5402684564,0.75,0.3104026846,0.7365771812,0.6677852349,0.0687919463,0.0436241611,0.7348993289,0.1208053691,0.1963087248,0.1191275168,0.3120805369,0.360738255,0.4865771812,0.3255033557,0.7315436242,0.75,0.4429530201,0.1006711409,0.1224832215,0.5285234899,0.1627516779,2.4788865451
100183,Steward Coral Gables Hospital,3100 Douglas Rd,Coral Gables,33134,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",601,93868964,8836702,7952299,769,4022,4054,80.40266223,45,133,161,262,355,246,75,29,,490,,,515,86,0.0099833611,0.0948419301,0.1846921797,0.6572379368,0.615640599,0.1164725458,0.6888519135,0.6589018303,0.0299500832,0.0049916805,0.3144758735,0.1214642263,0.3477537438,0.1281198003,0.5673876872,0.5906821963,0.6838602329,0.534109817,0.75,0.75,0.6572379368,0.2029950083,0.1114808652,0.6888519135,0.2196339434,3.3046100197
100187,Steward Palmetto General Hospital,2001 W 68th St,Hialeah,33016,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1388,240145043,31938805,27147435,1813,9001,9120,76.7629683,187,303,470,428,788,600,158,63,,1147,,,1155,233,0.0172910663,0.1376080692,0.1613832853,0.4870317003,0.5043227666,0.1023054755,0.5547550432,0.5115273775,0.0223342939,0.0093659942,0.2608069164,0.1253602305,0.3623919308,0.1491354467,0.4971181556,0.424351585,0.6001440922,0.4899135447,0.75,0.75,0.6001440922,0.1671469741,0.0828530259,0.5360230548,0.2737752161,2.9720711461
100189,Hca Florida Northwest Hospital,2801 N State Rd 7,Margate,33063,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1528,278235769,26568337,21744980,2046,8898,9259,76.570680628,162,452,507,407,831,697,1084,214,34,148,,,459,1069,0.0196335079,0.1531413613,0.1603403141,0.3160994764,0.414921466,0.0909685864,0.4391361257,0.4057591623,0.0327225131,0.0242146597,0.1197643979,0.1308900524,0.3494764398,0.1878272251,0.4960732984,0.3651832461,0.5222513089,0.4653141361,0.75,0.75,0.5890052356,0.1753926702,0.0556282723,0.5183246073,0.2290575916,2.3971895162
100191,Hca Florida Trinity Hospital,9330 Sr 54,Trinity,34655,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2134,392771042,38015900,29854730,2839,12636,13042,74.811621368,295,673,709,457,1200,934,1922,49,21,104,,,541,1593,0.0285848172,0.2455482662,0.2652296157,0.2642924086,0.5140581068,0.1490159325,0.5135895033,0.4718837863,0.0449859419,0.0496719775,0.1082474227,0.1204311153,0.381443299,0.240393627,0.4821930647,0.4554826617,0.4498594189,0.4184629803,0.75,0.75,0.5829428304,0.1855670103,0.0402999063,0.5707591378,0.2118088097,2.3870122922
100200,Broward Health Imperial Point,6401 N Federal Hwy,Fort Lauderdale,33308,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",889,48504625,13919434,12381293,1092,4160,4264,75.406074241,125,260,292,212,450,439,695,109,,55,,19,258,631,0.0236220472,0.214848144,0.1811023622,0.2767154106,0.4274465692,0.1012373453,0.4510686164,0.4139482565,0.0269966254,0.0213723285,0.1338582677,0.1012373453,0.3554555681,0.2272215973,0.4758155231,0.3115860517,0.4229471316,0.3655793026,0.75,0.75,0.4938132733,0.177727784,0.0539932508,0.5208098988,0.1799775028,2.2772831511
100204,Hca Florida North Florida Hospital,6500 W Newberry Rd,Gainesville,32605,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6102,1368398596,126329640,109844360,8732,42066,43280,76.441658473,547,1955,2215,1385,3443,2659,5231,595,43,137,,,1362,4740,0.0132743363,0.1435594887,0.1878072763,0.2574565716,0.4029826286,0.1424123238,0.4198623402,0.3897082924,0.0254015077,0.0267125533,0.0501474926,0.124057686,0.3702064897,0.2127171419,0.4708292363,0.3464437889,0.4536217634,0.4165847263,0.75,0.75,0.4988528351,0.164863979,0.0399868895,0.6138970829,0.2441822353,1.9832121164
100206,Hca Florida South Tampa Hospital,2901 W Swann Ave,Tampa,33609,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1047,157400051,15471563,13272552,1308,5148,5358,74.209169054,136,393,282,236,634,413,827,92,13,89,,,241,806,0.064947469,0.2034383954,0.1900668577,0.2273161414,0.4584527221,0.1623686724,0.441260745,0.4030563515,0.0372492837,0.0391595033,0.1021967526,0.1786055396,0.3123209169,0.1929321872,0.3791786055,0.3438395415,0.417382999,0.3218720153,0.75,0.75,0.4813753582,0.1862464183,0.0420248329,0.5835721108,0.212034384,2.0144675917
100209,Hca Florida Kendall Hospital,11750 Bird Rd,Miami,33175,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1694,407879161,40068456,35210999,2118,11815,12182,78.347697757,179,396,528,591,966,728,401,47,,1225,,12,1151,543,0.0135773318,0.1469893743,0.178866588,0.4805194805,0.4946871311,0.0997638725,0.5377804014,0.5070838253,0.0861865407,0.0135773318,0.2066115702,0.1044864227,0.3435655254,0.1753246753,0.4716646989,0.4126328217,0.5484061393,0.5100354191,0.75,0.75,0.5301062574,0.1900826446,0.0867768595,0.5613931523,0.2727272727,2.7772611864
100211,Adventhealth Dade City,13100 Ft King Rd,Dade City,33525,FL,12,1.1,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",679,66366439,9393120,8220279,870,3455,3505,76.17083947,76,186,262,155,365,314,605,25,,39,,,242,437,0.0220913108,0.2842415317,0.2209131075,0.3608247423,0.4918998527,0.1782032401,0.5139911635,0.4801178203,0.0191458027,0.029455081,0.1001472754,0.1413843888,0.3681885125,0.1914580265,0.559646539,0.469808542,0.4815905744,0.4948453608,0.75,0.75,0.5655375552,0.1708394698,0.0544918999,0.5522827688,0.2724594993,2.3005317417
100212,Hca Florida Ocala Hospital,1431 Sw 1st Ave,Ocala,34471,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7620,1217451542,132382355,114302193,10274,41928,42786,77.217060367,537,2240,3045,1798,4183,3437,6711,410,45,318,,,1189,6431,0.0064304462,0.1468503937,0.1447506562,0.245144357,0.382808399,0.0762467192,0.4380577428,0.3990813648,0.0169291339,0.0220472441,0.0401574803,0.112992126,0.3937007874,0.2232283465,0.4333333333,0.361023622,0.4503937008,0.3927821522,0.75,0.75,0.5682414698,0.1654855643,0.0435695538,0.5540682415,0.2715223097,1.9683308637
100213,Hca Florida Blake Hospital,2020 59th St W,Bradenton,34209,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3109,584436924,61050389,48574854,4081,22502,23559,77.931810872,245,877,1093,894,1645,1464,2835,104,,102,,56,547,2562,0.0189771631,0.1762624638,0.1605017691,0.2939852042,0.4281119331,0.1344483757,0.4557735606,0.4287552268,0.0225152782,0.0218719846,0.0659376005,0.0958507559,0.4271469926,0.204567385,0.4248954648,0.3731103249,0.3891926665,0.37664844,0.75,0.75,0.5265358636,0.1531038919,0.0659376005,0.5966548729,0.2264393696,2.0116649843
100217,Sebastian River Medical Center,13695 Us Hwy 1,Sebastian,32978,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1225,168131356,18115447,15692206,1574,6325,6415,77.327346939,97,354,468,306,629,596,1137,29,,37,,20,167,1058,0.0171428571,0.1918367347,0.1853061224,0.2318367347,0.412244898,0.0595918367,0.4057142857,0.3820408163,0.0171428571,0.0220408163,0.0326530612,0.107755102,0.3763265306,0.2187755102,0.4473469388,0.3926530612,0.4163265306,0.4073469388,0.75,0.75,0.4906122449,0.1779591837,0.0408163265,0.6440816327,0.2228571429,1.9996898094
100220,Gulf Coast Medical Center Lee Mem Health System,13681 Doctors Way,Fort Myers,33912,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6905,746693154,120757474,98508297,8916,54458,56920,77.006806662,503,2139,2599,1664,3513,3392,6025,245,56,388,,,988,5917,0.0127443881,0.1734974656,0.1439536568,0.2351918899,0.3869659667,0.067487328,0.3958001448,0.3553946416,0.0201303403,0.0170890659,0.0398262129,0.1199131064,0.396813903,0.2295438088,0.4056480811,0.3178855902,0.4028964518,0.3920347574,0.75,0.75,0.5468501086,0.1798696597,0.0456191166,0.6008689356,0.2825488776,2.2096824834
100223,Hca Florida Fort Walton-Destin Hospital,1000 Mar-Walt Dr,Fort Walton Beach,32547,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3134,716128141,57199955,47485090,4339,19825,20341,76.746011487,298,924,1087,825,1686,1448,2761,183,54,75,,,486,2648,0.0108487556,0.1518825782,0.2067645182,0.2574984046,0.4100191449,0.0714741544,0.3908742821,0.36279515,0.0258455648,0.0277600511,0.040842374,0.1040204212,0.4208679004,0.1968730057,0.5354179962,0.4122527122,0.4629865986,0.4409700064,0.75,0.75,0.5280791321,0.184747926,0.040842374,0.5826419911,0.2651563497,2.1030776039
100224,Hca Florida Woodmont Hospital,7201 N University Dr,Tamarac,33321,FL,12,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1164,208210763,19698261,16650995,1637,8585,9000,77.99742268,134,285,327,418,696,468,769,235,13,115,,,428,736,0.0386597938,0.1563573883,0.1503436426,0.4407216495,0.4458762887,0.1288659794,0.5180412371,0.4776632302,0.045532646,0.0249140893,0.191580756,0.1365979381,0.3419243986,0.2036082474,0.5240549828,0.3505154639,0.5429553265,0.4209621993,0.75,0.75,0.5077319588,0.1838487973,0.0704467354,0.5678694158,0.2036082474,2.6500153279
